transaction_id,product_id
T00001,P0083
T00001,P0028
T00001,P0066
T00001,P0013
T00002,P0077
T00002,P0084
T00002,P0081
T00003,P0018
T00003,P0075
T00003,P0044
T00003,P0088
T00004,P0022
T00005,P0004
T00005,P0082
T00005,P0078
T00005,P0043
T00005,P0042
T00006,P0060
T00006,P0041
T00006,P0007
T00007,P0094
T00007,P0066
T00007,P0082
T00008,P0069
T00008,P0034
T00008,P0063
T00008,P0007
T00009,P0020
T00009,P0049
T00009,P0046
T00009,P0003
T00009,P0009
T00010,P0010
T00010,P0075
T00010,P0098
T00010,P0069
T00011,P0025
T00011,P0062
T00011,P0031
T00012,P0013
T00013,P0096
T00013,P0028
T00014,P0046
T00015,P0008
T00015,P0042
T00016,P0023
T00016,P0082
T00016,P0058
T00016,P0040
T00017,P0082
T00018,P0032
T00018,P0042
T00018,P0016
T00018,P0003
T00018,P0098
T00019,P0075
T00019,P0032
T00019,P0052
T00019,P0016
T00019,P0057
T00020,P0057
T00020,P0048
T00021,P0014
T00021,P0089
T00021,P0011
T00022,P0082
T00022,P0019
T00023,P0020
T00023,P0006
T00023,P0041
T00024,P0019
T00024,P0003
T00024,P0001
T00024,P0071
T00024,P0060
T00025,P0049
T00025,P0075
T00025,P0018
T00025,P0055
T00026,P0083
T00027,P0085
T00027,P0052
T00028,P0094
T00028,P0068
T00028,P0077
T00029,P0029
T00029,P0002
T00030,P0042
T00031,P0100
T00031,P0052
T00031,P0031
T00031,P0016
T00031,P0036
T00032,P0071
T00032,P0058
T00033,P0090
T00033,P0092
T00034,P0100
T00034,P0068
T00034,P0029
T00034,P0082
T00035,P0027
T00035,P0092
T00035,P0042
T00036,P0065
T00036,P0057
T00037,P0035
T00037,P0034
T00037,P0070
T00037,P0087
T00037,P0065
T00038,P0092
T00038,P0073
T00038,P0084
T00038,P0052
T00039,P0054
T00039,P0096
T00039,P0087
T00039,P0017
T00039,P0033
T00040,P0059
T00041,P0091
T00041,P0082
T00041,P0056
T00041,P0100
T00041,P0067
T00042,P0060
T00042,P0064
T00042,P0002
T00043,P0034
T00043,P0084
T00043,P0031
T00044,P0083
T00044,P0020
T00045,P0005
T00045,P0053
T00045,P0084
T00045,P0056
T00046,P0078
T00046,P0088
T00046,P0054
T00047,P0045
T00047,P0072
T00047,P0036
T00047,P0009
T00047,P0037
T00048,P0006
T00049,P0042
T00050,P0007
T00050,P0026
T00051,P0099
T00051,P0069
T00051,P0007
T00052,P0087
T00052,P0009
T00052,P0082
T00052,P0090
T00052,P0010
T00053,P0036
T00053,P0083
T00053,P0079
T00053,P0058
T00054,P0001
T00055,P0025
T00056,P0052
T00057,P0059
T00057,P0061
T00057,P0060
T00058,P0005
T00058,P0032
T00058,P0041
T00058,P0050
T00059,P0034
T00059,P0082
T00060,P0096
