ID_Cliente,Sector_Negocio,Tiempo_en_Servicio_Meses,Probabilidad_Modelo,Prioridad_Atencion,Ingresos_Previstos_USD,Ingresos_M_USD,Costo_Retencion_USD
100000,Finanzas,28,0.2469718170374358,Baja,4630.765584435492,0.004630765584435492,115
100001,Manufactura,22,0.2642551331655289,Media,8315.889833232884,0.008315889833232884,95
100002,Salud,45,0.2136120426724014,Baja,18138.531884231783,0.018138531884231784,89
100003,Finanzas,16,0.296173655719912,Media,2805.2616834762084,0.0028052616834762082,121
100004,Retail,13,0.3569881919384972,Media,8274.013039654244,0.008274013039654244,42
100005,Retail,36,0.2382898145250673,Baja,819.7337138486782,0.0008197337138486782,57
100006,Retail,36,0.2959988074755753,Media,20070.960995357495,0.020070960995357493,58
100007,Manufactura,43,0.1878517340920011,Baja,8065.160490913269,0.00806516049091327,96
100008,Finanzas,23,0.3540785308209964,Media,13782.107264658993,0.013782107264658993,112
100009,Salud,14,0.3763342122026665,Media,6443.453648844376,0.006443453648844377,74
100010,Retail,32,0.2673195957052278,Media,10420.158262630774,0.010420158262630774,51
100011,Manufactura,3,0.4145248340546417,Alta,7964.764782389662,0.007964764782389663,94
100012,Salud,27,0.2862336261419516,Media,3637.322578569756,0.003637322578569756,71
100013,Retail,19,0.3911857430300802,Media,9439.221642616114,0.009439221642616114,54
100014,Retail,22,0.2768572713773941,Media,3543.238381447222,0.0035432383814472217,45
100015,Retail,57,0.1131660365412304,Baja,2665.1565967785605,0.0026651565967785603,52
100016,Retail,1,0.3384635060092376,Media,1713.4462883785604,0.0017134462883785604,43
100017,Finanzas,5,0.3228906426677554,Media,5561.18587578807,0.00556118587578807,118
100018,Finanzas,49,0.1817389822282198,Baja,16092.156408197836,0.016092156408197836,111
100019,Retail,33,0.2804201628444608,Media,9420.364276908176,0.009420364276908176,48
100020,Finanzas,51,0.2449301894482416,Baja,11405.786114920063,0.011405786114920064,128
100021,Retail,19,0.2202063188901944,Baja,6748.537982093602,0.006748537982093602,45
100022,Retail,36,0.2109108913783211,Baja,7267.533794512461,0.0072675337945124615,45
100023,Finanzas,51,0.1626884619827046,Baja,6415.285507294358,0.006415285507294357,126
100024,Finanzas,6,0.2877626365384376,Media,9489.831599296496,0.009489831599296497,128
100025,Salud,15,0.3976718294973249,Media,9361.466836110856,0.009361466836110856,74
100026,Retail,36,0.2443475698722904,Baja,17163.221746557054,0.017163221746557055,45
100027,Finanzas,56,0.1939931899734549,Baja,15923.8116127633,0.0159238116127633,114
100028,Finanzas,33,0.215246495485187,Baja,2083.878339489628,0.002083878339489628,115
100029,Retail,24,0.2766860919523329,Media,4370.356783787951,0.004370356783787951,44
100030,Finanzas,27,0.2463607695770791,Baja,20091.327642255757,0.020091327642255758,123
100031,Retail,49,0.1981940519724684,Baja,8806.469234061247,0.008806469234061247,49
100032,Retail,11,0.2758334339553363,Media,5051.496342929102,0.005051496342929102,43
100033,Manufactura,49,0.2377519218860452,Baja,4929.460598048421,0.004929460598048421,106
100034,Manufactura,23,0.3428392205672802,Media,9199.7432099242,0.0091997432099242,98
100035,Salud,33,0.3733521948580072,Media,3798.0685546428713,0.0037980685546428715,74
100036,Retail,41,0.2729372757338704,Media,22608.940623194543,0.022608940623194542,41
100037,Retail,46,0.2348997256322179,Baja,6138.26770596531,0.00613826770596531,56
100038,Salud,47,0.2222814079629375,Baja,2376.4888994558864,0.0023764888994558865,71
100039,Finanzas,56,0.1956892123511824,Baja,5686.017339026323,0.0056860173390263224,125
100040,Retail,29,0.1868556297120844,Baja,6729.500632220699,0.006729500632220699,59
100041,Finanzas,31,0.2635433429346665,Media,3863.0928022840335,0.0038630928022840333,110
100042,Retail,1,0.2862422365234745,Media,20699.148806171484,0.020699148806171484,59
100043,Manufactura,34,0.2544135741082372,Media,18877.66836073168,0.01887766836073168,98
100044,Retail,18,0.1785753379930735,Baja,7890.691171417593,0.007890691171417594,54
100045,Salud,18,0.3068356623426099,Media,26866.522073944067,0.026866522073944066,73
100046,Retail,6,0.3118737227967323,Media,8375.539369804757,0.008375539369804758,49
100047,Finanzas,52,0.169927850627767,Baja,811.6171133292936,0.0008116171133292936,115
100048,Finanzas,40,0.2181369361559711,Baja,13912.120032233051,0.013912120032233051,112
100049,Retail,1,0.304451692735453,Media,2273.6200347942263,0.002273620034794226,59
100050,Manufactura,47,0.2338738582115716,Baja,32804.72350928368,0.03280472350928368,91
100051,Salud,42,0.1631796537413015,Baja,3415.4811004789103,0.0034154811004789105,89
100052,Manufactura,30,0.2909675189519426,Media,8546.349765179117,0.008546349765179116,100
100053,Manufactura,4,0.2256279554722538,Baja,16276.30527416135,0.01627630527416135,97
100054,Finanzas,32,0.2217900146377515,Baja,11028.633351775286,0.011028633351775287,112
100055,Manufactura,10,0.2368839561454841,Baja,5340.453294087316,0.005340453294087316,108
100056,Retail,43,0.2255500466281998,Baja,22690.48422745683,0.022690484227456828,58
100057,Retail,5,0.2797310595996322,Media,1863.7038751779576,0.0018637038751779576,44
100058,Retail,9,0.2601320440540274,Media,17719.387311331615,0.017719387311331616,56
100059,Retail,5,0.1865426141114436,Baja,7605.918854207961,0.007605918854207961,54
100060,Finanzas,11,0.3244020920197454,Media,4721.949076680346,0.004721949076680346,112
100061,Retail,35,0.2290095724147489,Baja,18473.905535990656,0.018473905535990657,44
100062,Salud,27,0.2758945778876559,Media,13972.51226388659,0.01397251226388659,86
100063,Finanzas,4,0.2864643671406061,Media,12700.3791009266,0.0127003791009266,126
100064,Retail,10,0.3544858312029842,Media,17248.671145983673,0.017248671145983673,47
100065,Finanzas,39,0.2014675773885409,Baja,5168.989263169425,0.005168989263169424,126
100066,Retail,33,0.1724473713343666,Baja,10959.117800693006,0.010959117800693006,53
100067,Salud,59,0.2310058896307694,Baja,8745.078079171275,0.008745078079171275,80
100068,Retail,38,0.224404792083523,Baja,6124.773659020549,0.006124773659020548,53
100069,Manufactura,8,0.2394075461958899,Baja,17400.135093245055,0.017400135093245055,91
100070,Salud,49,0.2008300965904197,Baja,24689.56496045861,0.02468956496045861,72
100071,Retail,24,0.2246931019956044,Baja,4708.894419533571,0.004708894419533571,45
100072,Retail,39,0.2917322481089625,Media,16460.841023580197,0.016460841023580197,48
100073,Salud,33,0.2755573378386044,Media,882.7386994092273,0.0008827386994092272,79
100074,Salud,41,0.2312749871992149,Baja,16213.283454921278,0.01621328345492128,73
100075,Salud,43,0.2133378732800651,Baja,5998.658972456061,0.005998658972456061,83
100076,Salud,19,0.2601026704837564,Media,9447.26322092631,0.00944726322092631,71
100077,Retail,2,0.285855485120425,Media,14004.135620676372,0.014004135620676372,46
100078,Finanzas,55,0.1695997025644752,Baja,7405.274169080918,0.007405274169080918,111
100079,Retail,11,0.2970302927019826,Media,4105.048412762567,0.004105048412762567,44
100080,Manufactura,35,0.2488979501451439,Baja,7204.192661892916,0.007204192661892915,91
100081,Finanzas,17,0.3326979837769313,Media,5368.470911473687,0.005368470911473687,114
100082,Retail,42,0.1575581335485572,Baja,8006.242937498327,0.008006242937498327,58
100083,Retail,3,0.2806090279647532,Media,12463.49153134532,0.01246349153134532,54
100084,Retail,22,0.301039834192545,Media,12960.540258735564,0.012960540258735564,58
100085,Retail,35,0.2624802461864076,Media,5383.397046234248,0.005383397046234248,46
100086,Salud,21,0.2722163602099931,Media,2262.5751230902683,0.002262575123090268,87
100087,Finanzas,25,0.2387404802629376,Baja,5655.208005624416,0.005655208005624416,117
100088,Manufactura,39,0.2054674682744589,Baja,13833.373147847553,0.013833373147847553,107
100089,Finanzas,2,0.379090730875918,Media,9371.269381365297,0.009371269381365297,126
100090,Retail,1,0.3044222742587368,Media,3305.5544713319937,0.003305554471331994,59
100091,Salud,7,0.2907209184313714,Media,5619.022102771037,0.005619022102771037,80
100092,Salud,20,0.273107711231118,Media,13448.134749761335,0.013448134749761335,78
100093,Finanzas,43,0.2152025507528537,Baja,20358.010588836954,0.020358010588836954,120
100094,Salud,55,0.1962417085651001,Baja,18124.38882269866,0.01812438882269866,78
100095,Finanzas,6,0.3239436922079273,Media,9721.282685036836,0.009721282685036836,111
100096,Finanzas,55,0.1928797011160246,Baja,22938.54099910515,0.02293854099910515,125
100097,Finanzas,36,0.234907723144264,Baja,14602.791813031588,0.014602791813031589,114
100098,Retail,51,0.2097641739645771,Baja,10161.048657707905,0.010161048657707904,54
100099,Retail,21,0.3399893435473875,Media,9096.062908399332,0.009096062908399332,40
100100,Retail,51,0.2444982641124256,Baja,4684.817444001586,0.004684817444001586,58
100101,Finanzas,46,0.1689625986198641,Baja,9523.22691389346,0.00952322691389346,127
100102,Retail,35,0.1886417714679836,Baja,3156.223879009356,0.0031562238790093563,54
100103,Finanzas,36,0.1853475654500601,Baja,15324.21131157841,0.01532421131157841,119
100104,Manufactura,8,0.3671054941184732,Media,994.9174218028634,0.0009949174218028634,107
100105,Retail,50,0.2296733777394633,Baja,8890.686543783671,0.008890686543783671,58
100106,Finanzas,4,0.2861497648274161,Media,25904.48792575368,0.025904487925753682,127
100107,Salud,43,0.1749016885213581,Baja,5907.5882668439335,0.005907588266843933,85
100108,Retail,16,0.3057133199252537,Media,8956.03136380336,0.00895603136380336,48
100109,Retail,3,0.2237506355975915,Baja,8086.105123861284,0.008086105123861284,55
100110,Retail,7,0.212022177582765,Baja,24583.569720142128,0.02458356972014213,43
100111,Retail,2,0.3407434414775366,Media,22119.340012298693,0.022119340012298695,52
100112,Manufactura,1,0.2975136309937085,Media,2528.699329768488,0.002528699329768488,101
100113,Salud,58,0.1912693142610023,Baja,14744.93928144811,0.01474493928144811,79
100114,Finanzas,1,0.3561529907407398,Media,25794.722746646243,0.025794722746646244,114
100115,Manufactura,38,0.2285720795021515,Baja,19591.6409718782,0.0195916409718782,107
100116,Salud,51,0.1749170810030908,Baja,14247.757380718764,0.014247757380718764,78
100117,Retail,7,0.3306469618241013,Media,10763.435816337344,0.010763435816337343,54
100118,Manufactura,24,0.164646265624398,Baja,10797.35682589413,0.01079735682589413,101
100119,Finanzas,5,0.3332785719438742,Media,3941.9865091283473,0.003941986509128347,111
100120,Salud,21,0.3784648867363067,Media,35706.9445885661,0.035706944588566096,75
100121,Manufactura,28,0.2446306789085148,Baja,7219.383459763007,0.0072193834597630065,95
100122,Retail,18,0.282316338441153,Media,4243.661928372413,0.004243661928372413,59
100123,Retail,24,0.238975629703789,Baja,8950.725172891232,0.008950725172891232,41
100124,Retail,58,0.1816036470886114,Baja,2281.270621124991,0.002281270621124991,43
100125,Finanzas,32,0.3094988881787312,Media,3715.070524889269,0.003715070524889269,114
100126,Salud,45,0.1908437062876026,Baja,20749.50114667038,0.02074950114667038,85
100127,Manufactura,33,0.2397287145088666,Baja,3886.85762650144,0.0038868576265014398,104
100128,Retail,10,0.2585700226096003,Media,4625.704082821722,0.004625704082821722,55
100129,Finanzas,9,0.3099791505286257,Media,6123.93101883043,0.006123931018830429,112
100130,Finanzas,49,0.1891755756488412,Baja,22174.82539947463,0.02217482539947463,112
100131,Retail,33,0.2080036459725444,Baja,8009.345348456829,0.008009345348456829,49
100132,Retail,33,0.2295206287381796,Baja,5059.454527926889,0.0050594545279268885,45
100133,Retail,7,0.2832540403392165,Media,6108.939270176996,0.006108939270176996,54
100134,Manufactura,4,0.3597208565526325,Media,16634.30587731949,0.01663430587731949,93
100135,Retail,28,0.2215250037626589,Baja,4080.208649027933,0.004080208649027933,46
100136,Finanzas,23,0.2881231903619431,Media,10439.975687870325,0.010439975687870324,115
100137,Salud,53,0.1751797882219179,Baja,8991.387189175199,0.008991387189175198,81
